id,split,text,learned_valence,human_valence,learned_arousal,human_arousal,learned_dominance,human_dominance
SemEval_1114,dev,Sick hearts switch on a fetal gene,0.004478149116039276,-0.1850000023841858,0.09674801677465439,-0.05999999865889549,0.021130604669451714,-0.125
defenders5_705_785,dev,In May the Alaska legislature voted to reinstate same-day airborne wolf killing.,-0.04162660241127014,-0.05000000074505806,0.06896284967660904,0.05000000074505806,0.06897257268428802,-0.05000000074505806
HistoryLasVegas_12218_12346,dev,"Emerging stars, no longer content with playing small nightclubs, came to Las Vegas with dreams of making it big.",0.038759101182222366,0.15000000596046448,0.052424825727939606,0.0,0.057374998927116394,0.05000000074505806
NYTnewswire9_4035_4099,dev,"And he immediately liked Karnes, who showed him around the base.",0.03268346190452576,0.25,0.07729138433933258,0.10000000149011612,0.03322553634643555,-0.05000000074505806
captured_moments_16856_16952,dev,"Shortly before she left, Tasha said, ""You steal from life for art, Bernardo.",0.04025972634553909,-0.125,0.03765936195850372,0.0,0.040119580924510956,0.0
The_Black_Willow_3108_3169,dev,"He held a hand to his forehead, eyes closed and face flushed.",-0.010832071304321289,-0.25,0.07496189326047897,0.125,0.05824009329080582,-0.125
hotel-california_33279_33299,dev,I couldn't find her.,-0.03719869256019592,-0.4449999928474426,0.034491367638111115,0.054999999701976776,0.03584686666727066,-0.2199999988079071
SemEval_835,dev,'Bookworm Adventures' wordsmith's joy,0.05019383132457733,0.10000000149011612,0.040967173874378204,0.10000000149011612,0.05401138216257095,0.0
Seedbombing_420_456,dev,It also requires a certain attitude.,-0.031399622559547424,0.05999999865889549,0.04597420245409012,-0.06499999761581421,0.04972117394208908,0.05999999865889549
WhereToHongKong_57784_57846,dev,"However, it’s also easy to get to Guangzhou by train or ferry.",-0.02567402273416519,0.10000000149011612,0.03701203316450119,-0.10000000149011612,0.08987338840961456,0.10000000149011612
united1_666_790,dev,Optional shore excursions will provide the best opportunities for exploring the highlights of each fascinating port-of-call!,-0.0040086060762405396,0.22499999403953552,0.09964298456907272,0.04500000178813934,0.05871874839067459,-0.04500000178813934
WhatToHongKong_9910_10090,dev,"If you do plan to buy jewelry, be sure to consult the “Shopping Guide to Jewellery” published by the Hong Kong Tourist Authority to find a reputable dealer.",-0.03471726179122925,0.05999999865889549,0.07603764533996582,-0.1850000023841858,0.0923190638422966,0.125
hotel-california_1848_2039,dev,"Second, I was floating in the dark remnants of my broken ship, and any conceivable light sources were not within view; starlight is a distinctly different color and significantly less bright.",-0.006913706660270691,-0.30000001192092896,0.08085183054208755,0.15000000596046448,0.076314777135849,-0.20000000298023224
Uprooted_Bike_4316_4386,dev,Bikes are cheap: you can get one at your local thrift store for $5-50.,0.009028848260641098,0.15000000596046448,0.07607701420783997,0.10000000149011612,0.06443073600530624,0.10000000149011612
blog-new-year's-resolutions_2191_2524,dev,"They propose that people with high self-efficacy--people who believe that failure is the result of insufficient effort, and thus exhibit increased commitment and persistence--will achieve more of their goals than people with low self-efficacy, who tend to view failure as the result of deficient ability, and thus may simply give up.",-0.016279108822345734,0.0,0.1023966446518898,0.05000000074505806,0.07440763711929321,0.10000000149011612
20020731-nyt_17273_17317,dev,The Red Sox wanted to bolster their offense.,-0.053928203880786896,0.0,0.08163274079561234,-0.05000000074505806,0.052625179290771484,-0.05000000074505806
easy_money_10424_10432,dev,A place.,-0.05866464227437973,0.0,-0.015296395868062973,-0.25,0.014505764469504356,0.0
SemEval_1245,dev,Astronaut's arrest tests NASA's mettle,0.023376885801553726,-0.05999999865889549,0.06399331986904144,-0.05999999865889549,0.04889852553606033,0.0
Nathans_Bylichka_39817_39841,dev,The man closed his eyes.,-0.10994978994131088,0.0,0.010382615029811859,-0.36500000953674316,0.034646980464458466,0.04500000178813934
HistoryLasVegas_12075_12217,dev,"From the mid-1940s to the mid-1960s, Las Vegas nurtured a growing sense that it was the “Entertainment Capital of the World. ”",-0.015199407935142517,0.05000000074505806,0.0891387090086937,0.05000000074505806,0.07838956266641617,0.10000000149011612
The_Black_Willow_15755_15885,dev,"Nathan read the package of words in silence, his only motions the steady progress of his eyes and occasional replacement of pages.",-0.033193185925483704,0.0,0.09098368138074875,0.0,0.060952380299568176,0.0
Nathans_Bylichka_38191_38199,dev,We left.,0.05101145803928375,-0.05000000074505806,-0.07697093486785889,0.0,-0.04997126758098602,0.0
hotel-california_33964_33980,dev,A space station.,-0.02269206941127777,0.0,-0.03741034120321274,0.0,-0.025343893095850945,0.0
